son_original	fichier_mp3
Écoute et répète.,ecoute-et-repete-3b586418e32e.mp3
Trouve la bonne lettre.,trouve-la-bonne-lettre-65d59b0e7850.mp3
Écris la lettre.,ecris-la-lettre-29239504e6b3.mp3
Trouve les 3 écritures de la même lettre.,trouve-les-3-ecritures-de-la-meme-lettre-645f66e655a2.mp3
Écris la lettre (sans modèle).,ecris-la-lettre-sans-modele-67cfd77ee92a.mp3
Trouve la bonne lettre le plus vite possible.,trouve-la-bonne-lettre-le-plus-vite-possible-8c41efcb9108.mp3
Trouve la bonne syllabe.,trouve-la-bonne-syllabe-ac0a337fbff4.mp3
Écris la syllabe.,ecris-la-syllabe-445547e445b4.mp3
Trouve les 3 écritures de la même syllabe.,trouve-les-3-ecritures-de-la-meme-syllabe-165b44117c2f.mp3
Écris la syllabe (sans modèle).,ecris-la-syllabe-sans-modele-1d1847d03452.mp3
Trouve la bonne syllabe le plus vite possible.,trouve-la-bonne-syllabe-le-plus-vite-possible-448f448b291e.mp3
Trouve le bon mot.,trouve-le-bon-mot-9aea0589f914.mp3
Écris la syllabe manquante.,ecris-la-syllabe-manquante-7884e8ace70e.mp3
Écris la syllabe manquante (sans modèle).,ecris-la-syllabe-manquante-sans-modele-4794cfd43ba6.mp3
Écris le mot.,ecris-le-mot-4aa2d17aacec.mp3
Trouve les 3 écritures du même mot.,trouve-les-3-ecritures-du-meme-mot-db73fe330c65.mp3
Trouve le bon mot le plus vite possible.,trouve-le-bon-mot-le-plus-vite-possible-ed91195d90e6.mp3
Écris le mot (sans modèle).,ecris-le-mot-sans-modele-4d3d6265e60c.mp3
Trouve la syllabe ou le mot le plus vite possible.,trouve-la-syllabe-ou-le-mot-le-plus-vite-possible-64b0ef42e474.mp3
Mets les syllabes dans l'ordre.,mets-les-syllabes-dans-l-ordre-f15874d4648f.mp3
Mets les lettres du mot dans l'ordre.,mets-les-lettres-du-mot-dans-l-ordre-e6b9da35fa2a.mp3
Trouve la syllabe ou le mot le plus vite possible,trouve-la-syllabe-ou-le-mot-le-plus-vite-possible-42351b5efda7.mp3
Retrouve les 3 écritures du même mot.,retrouve-les-3-ecritures-du-meme-mot-417604f87c20.mp3
Mets les mots de la phrase dans l'ordre.,mets-les-mots-de-la-phrase-dans-l-ordre-9951bb6e2113.mp3
Écris la phrase (avec modèle).,ecris-la-phrase-avec-modele-97486247b91f.mp3
Place les syllabes dans le bon ordre.,place-les-syllabes-dans-le-bon-ordre-988c8c57b939.mp3
Place les syllabes ou les mots dans le bon ordre.,place-les-syllabes-ou-les-mots-dans-le-bon-ordre-bd045e8d4623.mp3
Place les lettres dans le bon ordre.,place-les-lettres-dans-le-bon-ordre-fb42c32665e9.mp3
